X,Y,OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT
507866.2628,6971358.958,132,200504679,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0328-N003,D2556,CHURCHILL CIRCUIT PARK,BANYO,MAINS POWER,1,153.0795547,-27.38102607
503453.7327,6980417.221,133,100253087,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-2317-N009,D1252,TINCHI TAMBA WETLANDS RESERVE,BALD HILLS,MAINS POWER,1,153.0349034,-27.29926497
498012.1008,6944680.65,134,200504234,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0620-N004,D1810,PACIFIC PARADE PARK,FOREST LAKE,MAINS POWER,1,152.9798517,-27.62189767
506406.5857,6981115.319,135,200515741,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1875-N004,D0276,SANDGATE FORESHORES PARK,SANDGATE,MAINS POWER,1,153.0647412,-27.29295176
510031.5364,6962745.12,136,100270358,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0221-N001,D2993,MINGOOLA PARK,MURARRIE,MAINS POWER,1,153.1015241,-27.45877795
510202.1932,6951479.643,137,200513024,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1588-N001,D0725,WISHART COMMUNITY PARK,WISHART,MAINS POWER,1,153.1033462,-27.56048054
507391.1645,6978054.664,138,200516436,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1867-N001,D0286,CLIFF STREET PARK,SANDGATE,MAINS POWER,2,153.0747093,-27.32057899
510085.0439,6955692.973,139,200514098,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1673-N001,D0661,TILLACK PARK,MANSFIELD,WOOD FIRED,1,153.1021243,-27.52244397
495499.5993,6955435.616,140,100125935,BBQ - WOOD SINGLE,BARBEQUE,B-RE-2580-N003,D1018,FIG TREE COMMON PARK,FIG TREE POCKET,WOOD FIRED,1,152.9544265,-27.5247974
497087.1891,6947225.092,141,200474286,BBQ - WOOD SINGLE,BARBEQUE,B-RE-1691-N001,D0584,CORMORANT STREET PARK,INALA,WOOD FIRED,1,152.9704835,-27.59892527
508397.4859,6977609.817,142,200522568,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1865-N002,D0288,MOORA PARK,SHORNCLIFFE,MAINS POWER,1,153.0848842,-27.32458933
